CoC Number,CoC Name,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Chronically Homeless,Homeless Veterans,Homeless Individuals,Homeless People in Families,Homeless Unaccompanied Youth (Under 25)
PA-508,Scranton/Lackawanna County CoC,197,183,14,13,26,98,99,9
NY-512,Troy/Rensselaer County CoC,194,175,19,18,8,102,92,22
WI-502,Racine City & County CoC,194,187,7,17,34,139,55,14
MD-507,Cecil County CoC,193,112,81,37,39,139,54,6
MI-515,Monroe City & County CoC,193,190,3,13,17,122,71,14
OK-500,North Central Oklahoma CoC,192,147,45,6,1,82,110,16
MD-502,Harford County CoC,189,152,37,20,8,102,87,8
LA-505,Monroe/Northeast Louisiana CoC,185,160,25,13,5,76,109,16
CA-523,"Colusa, Glenn, Trinity Counties CoC",176,43,133,34,12,118,58,7
IL-504,Madison County CoC,176,155,21,28,10,51,125,3
OK-504,Norman/Cleveland County CoC,174,98,76,111,10,155,19,7
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,174,171,3,0,15,82,92,15
UT-504,Provo/Mountainland CoC,171,130,41,8,3,118,53,13
NY-606,Rockland County CoC,170,112,58,28,2,135,35,5
NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,169,134,35,12,12,129,40,16
AR-508,Old Fort Homeless Coalition,168,80,88,71,37,131,37,7
CA-612,Glendale CoC,168,111,57,67,4,72,96,1
MD-504,Howard County CoC,168,115,53,23,6,93,75,3
NY-607,Sullivan County CoC,167,165,2,0,9,114,53,17
AL-505,Gadsden/Northeast Alabama CoC,163,103,60,43,4,130,33,20
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",162,146,16,8,0,86,76,12
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,160,143,17,11,6,100,60,16
VA-504,Charlottesville CoC,160,137,23,55,9,119,41,8
LA-507,Alexandria/Central Louisiana CoC,159,98,61,20,16,127,32,2
AL-502,Florence/Northwest Alabama CoC,155,133,22,24,11,155,0,8
IL-500,McHenry County CoC,155,150,5,5,24,87,68,15
MD-511,Mid-Shore Regional CoC,153,136,17,24,6,81,72,8
VA-507,Portsmouth CoC,151,96,55,12,11,115,36,2
MD-506,Carroll County CoC,147,125,22,20,8,106,41,8
NY-519,Columbia/Greene County CoC,144,141,3,15,4,72,72,11
MA-517,Somerville CoC,142,120,22,13,23,108,34,11
MI-517,Jackson City & County CoC,140,126,14,2,1,52,88,5
MI-516,Norton Shores/Muskegon City & County CoC,135,125,10,2,5,87,48,4
IL-516,Decatur/Macon County CoC,130,114,16,23,11,107,23,5
KS-505,Overland Park/Shawnee/Johnson County CoC,130,113,17,3,1,34,96,9
MI-511,Lenawee County CoC,128,128,0,15,2,59,69,5
NC-513,Chapel Hill/Orange County CoC,127,90,37,14,11,100,27,5
NY-516,Clinton County CoC,126,125,1,8,4,73,53,2
VA-508,Lynchburg CoC,125,100,25,27,9,92,33,7
CA-527,Tehama County CoC,124,68,56,61,9,103,21,2
CA-530,"Alpine, Inyo, Mono Counties CoC",121,5,116,31,13,102,19,5
MD-500,Cumberland/Allegany County CoC,118,88,30,19,1,76,42,4
WV-500,Wheeling/Weirton Area CoC,118,111,7,23,4,77,41,5
LA-508,Houma-Terrebonne/Thibodaux CoC,116,109,7,8,12,34,82,7
VA-602,Loudoun County CoC,113,97,16,15,6,71,42,10
IL-515,South Central Illinois CoC,108,76,32,5,3,44,64,6
MN-511,Southwest Minnesota CoC,108,100,8,0,2,43,65,20
MI-523,Eaton County CoC,107,101,6,0,0,11,96,1
MI-518,Livingston County CoC,103,91,12,1,1,56,47,11
TX-701,Bryan/College Station/Brazos Valley CoC,102,89,13,14,0,76,26,8
MN-504,Northeast Minnesota CoC,99,58,41,8,3,63,36,16
PA-603,Beaver County CoC,98,88,10,12,2,34,64,1
IL-509,Dekalb City & County CoC,90,87,3,0,2,51,39,3
AR-505,Southeast Arkansas,88,88,0,0,2,49,39,13
MI-513,"Marquette, Alger Counties CoC",84,81,3,4,1,34,50,4
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,83,80,3,0,1,41,42,19
IL-519,West Central Illinois CoC,80,80,0,1,1,49,31,9
NY-510,Ithaca/Tompkins County CoC,73,53,20,5,1,54,19,15
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",53,27,26,3,1,23,30,2
NY-504,Cattaragus County CoC,34,34,0,1,2,24,10,7
NY-520,Franklin County CoC,28,27,1,1,5,21,7,3
NJ-512,Salem County CoC,16,13,3,0,0,8,8,0
MD-510,Garrett County CoC,10,10,0,3,0,4,6,2
