CoCNumber,CoCName,TotalHomeless2016,HomelessVeterans2016,HomelessUnder25Youth2016,"Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
AK-501,Alaska Balance of State,835,79,79,633,202,622,424,198,213,209,4,72,46,26,64,38,26,8,8,0,52,27,53,26,16,16,0,63,37,26,3,3,0,0,0,0,3,3,0,4,4,0
NC-505,Charlotte/Mecklenberg,1818,149,78,1631,187,1168,984,184,650,647,3,191,128,63,170,110,60,21,18,3,124,25,67,11,8,8,0,70,59,11,34,34,0,0,0,0,34,34,0,50,50,0
CA-611,Oxnard/San Buenaventura/Ventura County,1271,78,78,494,777,1011,363,648,260,131,129,303,42,261,296,42,254,7,0,7,21,57,35,43,10,4,6,68,31,37,1,1,0,0,0,0,1,1,0,3,3,0
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",618,19,78,411,207,289,135,154,329,276,53,57,48,9,52,43,9,5,5,0,16,3,42,36,14,9,5,64,33,31,19,17,2,0,0,0,19,17,2,23,21,2
UT-500,Salt Lake City & County,1891,275,77,1834,57,1260,1203,57,631,631,0,164,161,3,142,139,3,22,22,0,268,7,76,1,0,0,0,77,76,1,14,14,0,0,0,0,14,14,0,26,26,0
SD-500,South Dakota Statewide,1072,120,77,887,185,548,446,102,524,441,83,44,37,7,34,30,4,10,7,3,109,11,69,8,9,9,0,68,60,8,19,16,3,1,1,0,18,15,3,25,21,4
ID-501,Idaho Balance of State,1380,110,77,767,613,604,318,286,776,449,327,197,64,133,107,19,88,90,45,45,64,46,44,33,8,6,2,69,38,31,34,19,15,0,0,0,34,19,15,41,23,18
OH-500,Cincinnati/Hamilton County,1116,185,76,1056,60,844,784,60,272,272,0,24,24,0,24,24,0,0,0,0,183,2,70,6,7,7,0,69,63,6,12,12,0,0,0,0,12,12,0,18,18,0
TN-507,Jackson/West Tennessee,1541,57,76,163,1378,1119,117,1002,422,46,376,164,14,150,131,11,120,33,3,30,2,55,5,71,1,0,1,75,5,70,27,1,26,0,0,0,27,1,26,32,2,30
TX-601,Fort Worth/Arlington/Tarrant County,1938,205,74,1515,423,1379,981,398,559,534,25,189,109,80,159,79,80,30,30,0,175,30,42,32,11,11,0,63,31,32,15,15,0,0,0,0,15,15,0,22,22,0
ND-500,North Dakota Statewide,923,116,74,707,216,662,509,153,261,198,63,120,41,79,89,41,48,31,0,31,63,53,61,13,10,10,0,64,51,13,13,9,4,0,0,0,13,9,4,18,10,8
MA-500,Boston,6240,222,73,6073,167,2485,2318,167,3755,3755,0,919,900,19,605,586,19,314,314,0,217,5,62,11,4,4,0,69,58,11,37,37,0,0,0,0,37,37,0,37,37,0
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",962,97,73,905,57,610,553,57,352,352,0,38,23,15,38,23,15,0,0,0,88,9,72,1,26,26,0,47,46,1,17,17,0,0,0,0,17,17,0,22,22,0
CA-524,Yuba City & County/Sutter County,702,21,73,191,511,387,75,312,315,116,199,233,35,198,70,31,39,163,4,159,1,20,7,66,23,1,22,50,6,44,9,5,4,1,1,0,8,4,4,23,8,15
LA-509,Louisiana Balance of State,179,5,70,134,45,153,124,29,26,10,16,0,0,0,0,0,0,0,0,0,5,0,62,8,36,30,6,34,32,2,3,1,2,0,0,0,3,1,2,3,1,2
CA-606,Long Beach,2250,289,69,737,1513,1908,547,1361,342,190,152,838,89,749,800,86,714,38,3,35,195,94,19,50,1,0,1,68,19,49,9,6,3,0,0,0,9,6,3,14,11,3
OR-502,Medford/Ashland/Jackson County,527,76,69,288,239,447,234,213,80,54,26,184,54,130,173,54,119,11,0,11,53,23,42,27,31,25,6,38,17,21,7,7,0,0,0,0,7,7,0,7,7,0
NE-502,Lincoln,694,72,69,662,32,486,454,32,208,208,0,26,22,4,26,22,4,0,0,0,71,1,69,0,20,20,0,49,49,0,8,8,0,0,0,0,8,8,0,11,11,0
CA-519,Chico/Paradise/Butte County,574,49,69,289,285,440,157,283,134,132,2,251,45,206,238,32,206,13,13,0,22,27,33,36,4,4,0,65,29,36,2,2,0,0,0,0,2,2,0,5,5,0
OH-506,Akron/Barberton/Summit County,679,67,68,592,87,470,388,82,209,204,5,45,9,36,45,9,36,0,0,0,61,6,60,8,19,19,0,49,41,8,10,10,0,4,4,0,6,6,0,11,11,0
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford",378,12,68,308,70,271,212,59,107,96,11,92,67,25,81,59,22,11,8,3,11,1,58,10,0,0,0,68,58,10,11,11,0,0,0,0,11,11,0,11,11,0
SC-501,Greenville/Anderson/Spartanburg Upstate,1829,141,67,1569,260,1187,956,231,642,613,29,304,179,125,251,134,117,53,45,8,115,26,54,13,4,3,1,63,51,12,25,23,2,0,0,0,25,23,2,37,35,2
FL-606,Naples/Collier County,545,5,67,328,217,338,219,119,207,109,98,73,49,24,73,49,24,0,0,0,4,1,56,11,8,8,0,59,48,11,3,3,0,0,0,0,3,3,0,5,5,0
PR-503,South/Southeast Puerto Rico,2075,67,66,532,1543,1753,340,1413,322,192,130,891,151,740,817,151,666,74,0,74,30,37,15,51,5,4,1,61,11,50,13,9,4,0,0,0,13,9,4,24,16,8
CA-515,"Roseville/Rocklin/Placer, Nevada Counties",1021,67,66,522,499,861,437,424,160,85,75,347,110,237,313,93,220,34,17,17,24,43,25,41,1,0,1,65,25,40,3,3,0,0,0,0,3,3,0,3,3,0
SC-502,Columbia/Midlands,1350,224,64,1015,335,1087,763,324,263,252,11,313,166,147,311,164,147,2,2,0,182,42,47,17,4,1,3,60,46,14,8,8,0,1,1,0,7,7,0,9,9,0
FL-506,Tallahassee/Leon County,869,117,64,721,148,635,491,144,234,230,4,81,59,22,78,56,22,3,3,0,88,29,58,6,14,13,1,50,45,5,12,12,0,0,0,0,12,12,0,18,18,0
RI-500,Rhode Island Statewide,1160,89,64,1123,37,859,822,37,301,301,0,144,141,3,136,133,3,8,8,0,89,0,63,1,0,0,0,64,63,1,21,21,0,0,0,0,21,21,0,31,31,0
TN-501,Memphis/Shelby County,1669,240,63,1548,121,1121,1000,121,548,548,0,106,30,76,100,24,76,6,6,0,228,12,60,3,11,11,0,52,49,3,36,36,0,0,0,0,36,36,0,57,57,0
FL-605,West Palm Beach/Palm Beach County,1332,115,63,507,825,1008,236,772,324,271,53,459,31,428,452,28,424,7,3,4,29,86,17,46,2,2,0,61,15,46,27,23,4,1,1,0,26,22,4,45,41,4
PA-601,Western Pennsylvania,986,119,62,917,69,571,505,66,415,412,3,32,27,5,21,16,5,11,11,0,118,1,49,13,0,0,0,62,49,13,23,23,0,2,2,0,21,21,0,30,30,0
KY-502,Lexington/Fayette County,1064,157,61,1043,21,898,877,21,166,166,0,103,93,10,98,88,10,5,5,0,155,2,55,6,8,8,0,53,47,6,11,11,0,0,0,0,11,11,0,18,18,0
NC-504,Greensboro/High Point,721,66,61,637,84,544,460,84,177,177,0,38,23,15,36,21,15,2,2,0,66,0,59,2,15,15,0,46,44,2,5,5,0,0,0,0,5,5,0,6,6,0
FL-513,Palm Bay/Melbourne/Brevard County,827,160,60,644,183,505,352,153,322,292,30,193,43,150,163,43,120,30,0,30,147,13,55,5,30,25,5,30,30,0,13,13,0,0,0,0,13,13,0,13,13,0
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties",1068,151,59,829,239,733,521,212,335,308,27,75,23,52,68,16,52,7,7,0,135,16,50,9,1,1,0,58,49,9,28,27,1,0,0,0,28,27,1,35,33,2
WA-502,Spokane City & County,981,103,59,809,172,677,513,164,304,296,8,188,94,94,158,67,91,30,27,3,90,13,42,17,8,8,0,51,34,17,19,19,0,1,1,0,18,18,0,24,24,0
VA-521,Virginia Balance of State (BoS),654,29,59,498,156,394,263,131,260,235,25,58,34,24,46,22,24,12,12,0,24,5,43,16,0,0,0,59,43,16,14,14,0,0,0,0,14,14,0,21,21,0
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties",506,22,58,380,126,330,241,89,176,139,37,117,47,70,97,34,63,20,13,7,6,16,34,24,0,0,0,58,34,24,8,5,3,0,0,0,8,5,3,10,7,3
MN-509,Duluth/St.Louis County,528,21,58,370,158,330,178,152,198,192,6,110,70,40,62,25,37,48,45,3,13,8,47,11,11,11,0,47,36,11,21,21,0,3,3,0,18,18,0,18,18,0
TX-603,El Paso City & County,1100,71,56,987,113,584,471,113,516,516,0,105,69,36,100,64,36,5,5,0,58,13,47,9,3,3,0,53,44,9,12,12,0,0,0,0,12,12,0,38,38,0
GA-507,Savannah/Chatham County,1070,29,56,553,517,923,406,517,147,147,0,155,35,120,149,29,120,6,6,0,17,12,19,37,7,7,0,49,12,37,2,2,0,0,0,0,2,2,0,4,4,0
FL-501,Tampa/Hillsborough County,1817,181,53,1048,769,1284,577,707,533,471,62,254,61,193,244,53,191,10,8,2,112,69,18,35,3,0,3,50,18,32,19,19,0,1,1,0,18,18,0,28,28,0
ID-500,Boise/Ada County,867,157,53,742,125,680,568,112,187,174,13,140,96,44,120,80,40,20,16,4,138,19,45,8,8,8,0,45,37,8,5,5,0,0,0,0,5,5,0,8,8,0
CA-512,Daly/San Mateo County,1361,136,53,586,775,911,251,660,450,335,115,238,5,233,235,5,230,3,0,3,46,90,27,26,4,4,0,49,23,26,18,15,3,0,0,0,18,15,3,17,12,5
UT-503,Utah Balance of State,738,57,53,600,138,461,343,118,277,257,20,17,14,3,17,14,3,0,0,0,41,16,40,13,10,9,1,43,31,12,3,3,0,0,0,0,3,3,0,4,4,0
FL-511,Pensacola/Escambia/Santa Rosa County,798,112,52,616,182,615,444,171,183,172,11,216,156,60,189,134,55,27,22,5,86,26,46,6,11,11,0,41,35,6,3,3,0,0,0,0,3,3,0,4,4,0
MO-600,"Springfield/Greene, Christian, Webster Counties",496,29,52,284,212,301,113,188,195,171,24,221,37,184,179,19,160,42,18,24,7,22,14,38,4,2,2,48,12,36,10,8,2,0,0,0,10,8,2,12,11,1
IL-514,DuPage County,555,14,52,525,30,204,174,30,351,351,0,37,33,4,37,33,4,0,0,0,13,1,51,1,8,8,0,44,43,1,21,21,0,0,0,0,21,21,0,23,23,0
DE-500,Delaware Statewide,1070,107,51,1019,51,753,702,51,317,317,0,74,72,2,65,63,2,9,9,0,103,4,46,5,0,0,0,51,46,5,10,10,0,0,0,0,10,10,0,20,20,0
VT-500,Vermont Balance of State,785,79,51,691,94,450,373,77,335,318,17,59,44,15,59,44,15,0,0,0,73,6,45,6,1,1,0,50,44,6,41,38,3,0,0,0,41,38,3,44,41,3
AL-507,Alabama Balance of State,827,28,51,459,368,615,353,262,212,106,106,44,5,39,35,5,30,9,0,9,9,19,28,23,2,2,0,49,26,23,5,2,3,0,0,0,5,2,3,5,2,3
CA-513,"Visalia, Kings, Tulare Counties",792,37,50,326,466,646,199,447,146,127,19,251,20,231,241,13,228,10,7,3,4,33,29,21,0,0,0,50,29,21,5,5,0,0,0,0,5,5,0,8,8,0
FL-517,"Hendry, Hardee, Highlands Counties",1071,12,50,313,758,601,126,475,470,187,283,335,37,298,323,25,298,12,12,0,12,0,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA-502,Fulton County Continuum of Care,483,57,49,422,61,282,228,54,201,194,7,28,28,0,9,9,0,19,19,0,57,0,40,9,0,0,0,49,40,9,13,13,0,0,0,0,13,13,0,13,13,0
NJ-502,Burlington County,926,11,49,913,13,471,458,13,455,455,0,133,133,0,103,103,0,30,30,0,11,0,45,4,0,0,0,49,45,4,27,27,0,0,0,0,27,27,0,31,31,0
NY-602,Newburgh/Middletown/Orange County,343,2,49,323,20,185,165,20,158,158,0,33,15,18,26,8,18,7,7,0,0,2,49,0,11,11,0,38,38,0,7,7,0,0,0,0,7,7,0,10,10,0
OR-503,Central Oregon,602,62,47,197,405,386,153,233,216,44,172,218,9,209,157,9,148,61,0,61,20,42,18,29,5,1,4,42,17,25,1,1,0,0,0,0,1,1,0,1,1,0
CA-521,Davis/Woodland/Yolo County,532,29,47,339,193,322,139,183,210,200,10,89,45,44,75,31,44,14,14,0,13,16,16,31,4,1,3,43,15,28,7,7,0,0,0,0,7,7,0,10,10,0
MO-503,"St. Charles, Lincoln, Warren Counties",610,9,47,380,230,288,148,140,322,232,90,33,7,26,33,7,26,0,0,0,2,7,29,18,5,4,1,42,25,17,16,14,2,0,0,0,16,14,2,14,13,1
FL-514,Ocala/Marion County,823,108,46,295,528,650,198,452,173,97,76,65,0,65,65,0,65,0,0,0,73,35,12,34,7,7,0,39,5,34,7,1,6,0,0,0,7,1,6,7,1,6
LA-504,Baton Rouge,472,64,46,401,71,446,375,71,26,26,0,46,12,34,46,12,34,0,0,0,58,6,42,4,11,11,0,35,31,4,1,1,0,0,0,0,1,1,0,1,1,0
WV-508,West Virginia Balance of State,748,99,45,664,84,573,489,84,175,175,0,84,56,28,82,54,28,2,2,0,91,8,34,11,1,0,1,44,34,10,9,9,0,0,0,0,9,9,0,17,17,0
IL-511,Cook County,952,81,45,842,110,556,446,110,396,396,0,128,103,25,125,100,25,3,3,0,74,7,38,7,1,0,1,44,38,6,17,17,0,0,0,0,17,17,0,26,26,0
NC-507,Raleigh/Wake County,818,78,45,680,138,569,433,136,249,247,2,149,113,36,91,55,36,58,58,0,62,16,40,5,3,3,0,42,37,5,16,16,0,0,0,0,16,16,0,25,25,0
AR-501,Fayetteville/Northwest Arkansas,550,56,45,489,61,359,302,57,191,187,4,90,60,30,76,50,26,14,10,4,45,11,34,11,32,32,0,13,2,11,0,0,0,0,0,0,0,0,0,0,0,0
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties",632,35,45,151,481,509,67,442,123,84,39,129,3,126,129,3,126,0,0,0,14,21,3,42,0,0,0,45,3,42,3,1,2,0,0,0,3,1,2,4,2,2
MN-502,Rochester/Southeast Minnesota,423,9,45,409,14,147,133,14,276,276,0,35,28,7,22,15,7,13,13,0,6,3,41,4,0,0,0,45,41,4,10,10,0,0,0,0,10,10,0,15,15,0
MN-506,Northwest Minnesota,290,6,45,288,2,111,109,2,179,179,0,22,22,0,9,9,0,13,13,0,6,0,45,0,12,12,0,33,33,0,24,24,0,0,0,0,24,24,0,27,27,0
FL-508,"Gainesville/Alachua, Putnam Counties",844,123,44,419,425,596,173,423,248,246,2,265,43,222,253,33,220,12,10,2,47,76,34,10,22,22,0,22,12,10,2,2,0,0,0,0,2,2,0,2,2,0
MI-506,Grand Rapids/Wyoming/Kent County,800,76,44,759,41,527,486,41,273,273,0,63,59,4,59,55,4,4,4,0,71,5,36,8,11,11,0,33,25,8,16,16,0,0,0,0,16,16,0,29,29,0
ME-502,Portland,759,42,44,706,53,547,494,53,212,212,0,130,107,23,127,104,23,3,3,0,35,7,41,3,0,0,0,44,41,3,6,6,0,0,0,0,6,6,0,6,6,0
VA-601,Fairfax County,1059,37,44,985,74,484,410,74,575,575,0,149,106,43,146,103,43,3,3,0,25,12,43,1,1,1,0,43,42,1,23,23,0,1,1,0,22,22,0,29,29,0
MA-504,Springfield,2385,25,44,2350,35,379,344,35,2006,2006,0,170,154,16,60,44,16,110,110,0,25,0,42,2,1,0,1,43,42,1,111,111,0,0,0,0,111,111,0,145,145,0
NE-500,Nebraska Balance of State,551,13,44,539,12,284,272,12,267,267,0,7,6,1,7,6,1,0,0,0,12,1,44,0,12,12,0,32,32,0,21,21,0,0,0,0,21,21,0,26,26,0
NH-500,New Hampshire Balance of State,670,25,43,594,76,443,371,72,227,223,4,213,173,40,164,126,38,49,47,2,23,2,42,1,1,0,1,42,42,0,12,11,1,1,1,0,11,10,1,36,34,2
CA-520,Merced City & County,516,25,43,160,356,504,156,348,12,4,8,224,27,197,224,27,197,0,0,0,5,20,14,29,3,0,3,40,14,26,0,0,0,0,0,0,0,0,0,0,0,0
IL-520,Southern Illinois,351,21,43,332,19,175,159,16,176,173,3,24,20,4,24,20,4,0,0,0,20,1,40,3,4,4,0,39,36,3,11,11,0,0,0,0,11,11,0,11,11,0
NY-507,Schenectady City & County,345,13,43,276,69,257,188,69,88,88,0,31,26,5,27,22,5,4,4,0,11,2,25,18,16,2,14,27,23,4,8,8,0,0,0,0,8,8,0,14,14,0
TN-502,Knoxville/Knox County,748,102,41,667,81,674,593,81,74,74,0,134,55,79,120,41,79,14,14,0,98,4,34,7,1,1,0,40,33,7,4,4,0,0,0,0,4,4,0,8,8,0
KY-501,Louisville/Jefferson County,1116,191,40,1004,112,811,701,110,305,303,2,186,111,75,176,101,75,10,10,0,167,24,37,3,5,5,0,35,32,3,20,19,1,0,0,0,20,19,1,32,31,1
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties",762,118,40,692,70,624,554,70,138,138,0,94,81,13,87,74,13,7,7,0,105,13,36,4,0,0,0,40,36,4,10,10,0,0,0,0,10,10,0,10,10,0
AR-500,Little Rock/Central Arkansas,808,121,39,469,339,742,408,334,66,61,5,208,66,142,206,66,140,2,0,2,84,37,28,11,3,3,0,36,25,11,0,0,0,0,0,0,0,0,0,0,0,0
IA-502,Des Moines/Polk County,793,97,39,724,69,558,489,69,235,235,0,66,36,30,63,33,30,3,3,0,84,13,37,2,1,1,0,38,36,2,22,22,0,0,0,0,22,22,0,27,27,0
TN-510,Murfreesboro/Rutherford County,306,21,39,187,119,238,135,103,68,52,16,37,7,30,21,7,14,16,0,16,15,6,16,23,2,2,0,37,14,23,3,1,2,0,0,0,3,1,2,5,2,3
MI-504,Pontiac/Royal Oak/Oakland County,438,8,39,362,76,272,196,76,166,166,0,37,34,3,37,34,3,0,0,0,6,2,31,8,4,4,0,35,27,8,19,19,0,0,0,0,19,19,0,22,22,0
MS-500,"Jackson/Rankin, Madison Counties",633,65,38,297,336,566,230,336,67,67,0,88,2,86,88,2,86,0,0,0,17,48,21,17,10,10,0,28,11,17,0,0,0,0,0,0,0,0,0,0,0,0
NJ-500,Atlantic City & County,476,59,38,360,116,440,324,116,36,36,0,53,22,31,51,20,31,2,2,0,54,5,37,1,0,0,0,38,37,1,7,7,0,0,0,0,7,7,0,7,7,0
CA-607,Pasadena,530,44,38,178,352,453,104,349,77,74,3,201,47,154,193,39,154,8,8,0,13,31,5,33,1,0,1,37,5,32,2,2,0,0,0,0,2,2,0,3,3,0
NY-608,Kingston/Ulster County,328,13,38,290,38,180,146,34,148,144,4,34,8,26,29,3,26,5,5,0,10,3,34,4,8,8,0,30,26,4,13,13,0,0,0,0,13,13,0,19,19,0
TN-512,"Morristown/Blount, Sevier, Campbell,ke Counties",630,11,38,310,320,342,156,186,288,154,134,93,30,63,68,20,48,25,10,15,3,8,17,21,2,0,2,36,17,19,8,3,5,0,0,0,8,3,5,10,4,6
OR-506,Hillsboro/Beaverton/Washington County,571,63,37,193,378,383,78,305,188,115,73,142,11,131,128,8,120,14,3,11,47,16,6,31,3,2,1,34,4,30,4,2,2,0,0,0,4,2,2,5,2,3
KS-502,Wichita/Sedgwick County,571,46,37,492,79,378,303,75,193,189,4,39,15,24,29,9,20,10,6,4,31,15,26,11,2,2,0,35,24,11,11,10,1,0,0,0,11,10,1,13,12,1
IL-512,Bloomington/Central Illinois,411,25,37,363,48,215,196,19,196,167,29,83,71,12,58,46,12,25,25,0,23,2,34,3,0,0,0,37,34,3,9,7,2,0,0,0,9,7,2,9,7,2
CA-613,Imperial County,380,12,37,128,252,280,28,252,100,100,0,60,0,60,60,0,60,0,0,0,1,11,6,31,0,0,0,37,6,31,13,13,0,0,0,0,13,13,0,13,13,0
OK-503,Oklahoma Balance of State,295,3,37,114,181,153,36,117,142,78,64,71,71,0,45,45,0,26,26,0,3,0,6,31,0,0,0,37,6,31,10,4,6,0,0,0,10,4,6,10,4,6
CA-511,Stockton/San Joaquin County,1780,138,36,1245,535,947,460,487,833,785,48,247,37,210,244,34,210,3,3,0,77,61,23,13,4,4,0,32,19,13,34,34,0,0,0,0,34,34,0,45,45,0
OK-505,Northeast Oklahoma,368,17,36,342,26,237,222,15,131,120,11,35,26,9,26,17,9,9,9,0,15,2,36,0,12,12,0,24,24,0,2,2,0,0,0,0,2,2,0,4,4,0
SC-500,Charleston/Low Country,550,142,34,287,263,519,263,256,31,24,7,142,54,88,140,52,88,2,2,0,112,30,8,26,0,0,0,34,8,26,1,0,1,0,0,0,1,0,1,1,0,1
MD-508,"Charles, Calvert, St.Mary's Counties",464,26,34,213,251,290,148,142,174,65,109,81,44,37,73,39,34,8,5,3,9,17,12,22,6,0,6,28,12,16,6,2,4,0,0,0,6,2,4,12,6,6
FL-603,Ft Myers/Cape Coral/Lee County,439,19,34,256,183,310,162,148,129,94,35,90,20,70,82,20,62,8,0,8,12,7,24,10,10,10,0,24,14,10,2,2,0,0,0,0,2,2,0,2,2,0
MA-509,Cambridge,517,7,34,448,69,399,330,69,118,118,0,129,60,69,123,54,69,6,6,0,7,0,31,3,0,0,0,34,31,3,8,8,0,0,0,0,8,8,0,10,10,0
MS-501,Mississippi Balance of State,785,66,33,479,306,484,276,208,301,203,98,57,17,40,54,17,37,3,0,3,37,29,19,14,0,0,0,33,19,14,13,5,8,0,0,0,13,5,8,22,7,15
PA-506,Reading/Berks County,521,29,33,518,3,356,353,3,165,165,0,19,19,0,19,19,0,0,0,0,29,0,33,0,0,0,0,33,33,0,13,13,0,0,0,0,13,13,0,23,23,0
AL-503,Huntsville/North Alabama,385,29,33,298,87,283,196,87,102,102,0,102,59,43,100,57,43,2,2,0,21,8,18,15,3,3,0,30,15,15,1,1,0,0,0,0,1,1,0,2,2,0
PA-512,York City & County,365,13,33,294,71,164,117,47,201,177,24,14,9,5,10,5,5,4,4,0,13,0,6,27,16,0,16,17,6,11,6,6,0,0,0,0,6,6,0,8,8,0
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",276,2,33,248,28,226,204,22,50,44,6,0,0,0,0,0,0,0,0,0,2,0,31,2,9,9,0,24,22,2,2,2,0,0,0,0,2,2,0,4,4,0
MA-505,New Bedford,469,61,32,414,55,300,245,55,169,169,0,56,36,20,33,13,20,23,23,0,56,5,26,6,4,4,0,28,22,6,2,2,0,0,0,0,2,2,0,3,3,0
IN-500,South Bend/Mishawaka/St. Joseph County,468,54,32,457,11,295,284,11,173,173,0,54,49,5,49,44,5,5,5,0,54,0,32,0,8,8,0,24,24,0,12,12,0,0,0,0,12,12,0,16,16,0
WA-508,Vancouver/Clark County,688,40,32,463,225,319,208,111,369,255,114,63,30,33,55,28,27,8,2,6,28,12,27,5,5,4,1,27,23,4,8,8,0,2,2,0,6,6,0,12,12,0
MI-505,Flint/Genesee County,377,20,32,290,87,224,149,75,153,141,12,24,16,8,24,16,8,0,0,0,16,4,26,6,3,3,0,29,23,6,15,15,0,0,0,0,15,15,0,29,29,0
IL-518,Rock Island/Moline/Northwestern Illinois,340,14,32,301,39,208,178,30,132,123,9,0,0,0,0,0,0,0,0,0,14,0,26,6,6,6,0,26,20,6,14,14,0,0,0,0,14,14,0,9,9,0
WY-500,Wyoming Statewide,857,87,31,491,366,517,277,240,340,214,126,91,33,58,80,29,51,11,4,7,56,31,24,7,3,1,2,28,23,5,15,12,3,0,0,0,15,12,3,17,14,3
FL-604,Monroe County,575,87,31,305,270,497,259,238,78,46,32,126,8,118,126,8,118,0,0,0,45,42,13,18,5,5,0,26,8,18,2,2,0,0,0,0,2,2,0,2,2,0
MI-503,St. Clair Shores/Warren/Macomb County,403,55,31,354,49,317,268,49,86,86,0,14,10,4,14,10,4,0,0,0,55,0,25,6,3,3,0,28,22,6,12,12,0,0,0,0,12,12,0,20,20,0
WI-503,Madison/Dane County,629,49,31,559,70,360,293,67,269,266,3,116,87,29,87,58,29,29,29,0,44,5,29,2,3,3,0,28,26,2,18,18,0,0,0,0,18,18,0,24,24,0
VA-503,Virginia Beach,389,40,31,339,50,234,184,50,155,155,0,27,19,8,27,19,8,0,0,0,34,6,24,7,10,10,0,21,14,7,2,2,0,0,0,0,2,2,0,5,5,0
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",268,26,31,252,16,193,177,16,75,75,0,29,29,0,21,21,0,8,8,0,26,0,23,8,6,6,0,25,17,8,7,7,0,0,0,0,7,7,0,11,11,0
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties",328,16,31,243,85,238,171,67,90,72,18,36,14,22,31,14,17,5,0,5,13,3,27,4,14,14,0,17,13,4,2,2,0,0,0,0,2,2,0,3,3,0
MA-516,Massachusetts Balance of State,2008,5,31,1947,61,314,253,61,1694,1694,0,281,274,7,28,21,7,253,253,0,5,0,26,5,0,0,0,31,26,5,104,104,0,0,0,0,104,104,0,119,119,0
FL-520,"Citrus, Hernando, Lake, Sumter Counties",595,49,30,303,292,414,157,257,181,146,35,33,10,23,28,5,23,5,5,0,30,19,15,15,0,0,0,30,15,15,9,7,2,0,0,0,9,7,2,16,13,3
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties",1005,36,30,424,581,749,212,537,256,212,44,210,13,197,180,13,167,30,0,30,23,13,20,10,11,11,0,19,9,10,7,6,1,0,0,0,7,6,1,7,6,1
NY-601,Poughkeepsie/Dutchess County,385,9,30,363,22,218,202,16,167,161,6,21,4,17,13,4,9,8,0,8,7,2,30,0,8,8,0,22,22,0,4,4,0,0,0,0,4,4,0,4,4,0
NY-518,"Utica/Rome/Oneida, Madison Counties",160,5,30,143,17,106,89,17,54,54,0,22,13,9,20,11,9,2,2,0,1,4,27,3,2,2,0,28,25,3,12,12,0,1,1,0,11,11,0,14,14,0
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",256,0,30,234,22,204,182,22,52,52,0,36,36,0,36,36,0,0,0,0,0,0,30,0,12,12,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties",723,78,29,638,85,526,463,63,197,175,22,34,28,6,34,28,6,0,0,0,71,7,28,1,0,0,0,29,28,1,13,9,4,0,0,0,13,9,4,19,15,4
MI-508,Lansing/East Lansing/Ingham County,471,54,29,355,116,303,238,65,168,117,51,44,34,10,42,32,10,2,2,0,43,11,21,8,6,6,0,23,15,8,7,7,0,0,0,0,7,7,0,11,11,0
